date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:31	580/580	------	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Aug%202009%2014:06:21%20GMT	http://www.vzhurudolu.cz/robots.txt		(from )
16:14:31	12269/12269	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:20%20GMT	http://www.vzhurudolu.cz/archiv	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/archiv.html	(from )
16:14:31	4927/4927	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:36%20GMT	http://www.vzhurudolu.cz/64/web-20-vite-jak-skutecne-vypada	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/64/web-20-vite-jak-skutecne-vypada.html	(from )
16:14:31	13898/13898	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:37%20GMT	http://www.vzhurudolu.cz/63/nejvice-bozi-napad-na-cz-v-roce-2006	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/63/nejvice-bozi-napad-na-cz-v-roce-2006.html	(from )
16:14:31	7484/7484	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:37%20GMT	http://www.vzhurudolu.cz/61/95-znalosti-webdesignera-je-jen-opakovanim-starych-mouder	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/61/95-znalosti-webdesignera-je-jen-opakovanim-starych-mouder.html	(from )
16:14:32	11405/11405	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:37%20GMT	http://www.vzhurudolu.cz/59/doporucte-mi-knihu-o-apachephpmysql-pro-neprogramatora	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/59/doporucte-mi-knihu-o-apachephpmysql-pro-neprogramatora.html	(from )
16:14:32	7317/7317	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:37%20GMT	http://www.vzhurudolu.cz/58/getting-real-bible-vyvoje-webovovych-aplikaci-je-ted-zdarma	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/58/getting-real-bible-vyvoje-webovovych-aplikaci-je-ted-zdarma.html	(from )
16:14:32	6517/6517	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:38%20GMT	http://www.vzhurudolu.cz/57/tyden-obedu-zdarma-a-kurz-xhtmlcss	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/57/tyden-obedu-zdarma-a-kurz-xhtmlcss.html	(from )
16:14:33	3991/3991	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:38%20GMT	http://www.vzhurudolu.cz/53/kniha-o-google-analytics	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/53/kniha-o-google-analytics.html	(from )
16:14:33	8963/8963	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:38%20GMT	http://www.vzhurudolu.cz/52/vysoke-tatry-na-podzim	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/52/vysoke-tatry-na-podzim.html	(from )
16:14:33	9814/9814	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:39%20GMT	http://www.vzhurudolu.cz/49/jak-lepkava-je-vase-stranka	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/49/jak-lepkava-je-vase-stranka.html	(from )
16:14:34	9174/9174	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:39%20GMT	http://www.vzhurudolu.cz/47/3-efektni-triky-na-google-analytics	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/47/3-efektni-triky-na-google-analytics.html	(from )
16:14:34	10951/10951	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:39%20GMT	http://www.vzhurudolu.cz/45/pre-rss-ovano	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/45/pre-rss-ovano.html	(from )
16:14:34	15430/15430	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:40%20GMT	http://www.vzhurudolu.cz/44/jak-nevstoupit-do-valky-s-klientem	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/44/jak-nevstoupit-do-valky-s-klientem.html	(from )
16:14:35	9416/9416	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:40%20GMT	http://www.vzhurudolu.cz/43/rychlejsi-a-presnejsi-analyza-logu-s-weblog-expert	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/43/rychlejsi-a-presnejsi-analyza-logu-s-weblog-expert.html	(from )
16:14:35	4732/4732	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:40%20GMT	http://www.vzhurudolu.cz/42/tip-pro-bosse-webovych-stranek	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/42/tip-pro-bosse-webovych-stranek.html	(from )
16:14:35	16122/16122	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:40%20GMT	http://www.vzhurudolu.cz/41/czechcz-rozhodne-bez-ostudy-alespon-prozatim	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/41/czechcz-rozhodne-bez-ostudy-alespon-prozatim.html	(from )
16:14:35	4747/4747	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:41%20GMT	http://www.vzhurudolu.cz/36/adwords-editor-dalsi-rychlokvaska-od-google	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/36/adwords-editor-dalsi-rychlokvaska-od-google.html	(from )
16:14:36	13091/13091	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:41%20GMT	http://www.vzhurudolu.cz/33/mistri-sveta-v-seo-cesi	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/33/mistri-sveta-v-seo-cesi.html	(from )
16:14:36	4004/4004	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:41%20GMT	http://www.vzhurudolu.cz/32/datatransfer-2006-tentokrat-i-k-webu	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/32/datatransfer-2006-tentokrat-i-k-webu.html	(from )
16:14:36	4795/4795	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:42%20GMT	http://www.vzhurudolu.cz/30/komercni-vyuziti-wiki-nesmysl	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/30/komercni-vyuziti-wiki-nesmysl.html	(from )
16:14:36	15278/15278	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:42%20GMT	http://www.vzhurudolu.cz/29/zasyti-predkrm-od-clicktracks-gurmany-navykle-google-analytics	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/29/zasyti-predkrm-od-clicktracks-gurmany-navykle-google-analytics.html	(from )
16:14:37	9542/9542	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:42%20GMT	http://www.vzhurudolu.cz/28/vitamin-vyziva-pro-webdesignery-nebo-spotrebitele	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/28/vitamin-vyziva-pro-webdesignery-nebo-spotrebitele.html	(from )
16:14:37	13030/13030	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:42%20GMT	http://www.vzhurudolu.cz/25/video-na-webu	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/25/video-na-webu.html	(from )
16:14:37	6745/6745	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:43%20GMT	http://www.vzhurudolu.cz/23/4-zpusoby-vyhledavani-informace	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/23/4-zpusoby-vyhledavani-informace.html	(from )
16:14:37	18723/18723	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:43%20GMT	http://www.vzhurudolu.cz/20/filipika-proti-logotypum	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/20/filipika-proti-logotypum.html	(from )
16:14:38	6875/6875	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:43%20GMT	http://www.vzhurudolu.cz/17/blogovani-vcera-dnes-a-zitra	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/17/blogovani-vcera-dnes-a-zitra.html	(from )
16:14:38	9051/9051	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:43%20GMT	http://www.vzhurudolu.cz/16/html-prototypy	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/16/html-prototypy.html	(from )
16:14:38	4193/4193	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:44%20GMT	http://www.vzhurudolu.cz/12/webova-analytika-co-je-to	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/12/webova-analytika-co-je-to.html	(from )
16:14:38	3431/3431	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:44%20GMT	http://www.vzhurudolu.cz/9/web-analytics-demystified-trosku-levneji	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/9/web-analytics-demystified-trosku-levneji.html	(from )
16:14:39	3255/3255	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:44%20GMT	http://www.vzhurudolu.cz/4/vize-pro-rok-2006	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/4/vize-pro-rok-2006.html	(from )
16:14:39	6326/6326	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:14:44%20GMT	http://www.vzhurudolu.cz/xhtml-css	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/xhtml-css.html	(from )
16:14:39	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Aug%202009%2014:14:44%20GMT	http://www.vzhurudolu.cz/cubci-lektvar	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/cubci-lektvar.36.delayed	(from )
16:14:39	6271/6271	------	200	untouched ('OK')	text/css	etag:%2262c13e-187f-a397c340%22	http://www.vzhurudolu.cz/css/compressed/screen.css	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/css/compressed/screen.css	(from http://www.vzhurudolu.cz/archiv)
16:14:39	884/884	------	200	untouched ('OK')	text/css	etag:%2262c13d-374-a397c340%22	http://www.vzhurudolu.cz/css/compressed/print.css	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/css/compressed/print.css	(from http://www.vzhurudolu.cz/archiv)
16:14:39	2527/2527	------	200	untouched ('OK')	text/css	etag:%2262c003-9df-62e32400%22	http://www.vzhurudolu.cz/css/vd.css	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/css/vd.css	(from http://www.vzhurudolu.cz/archiv)
16:14:39	438/438	---M--	200	added ('OK')	image/png	etag:%22c402a-1b6-a88a3e00%22	http://www.vzhurudolu.cz/images/novybg.png	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/images/novybg.png	(from http://www.vzhurudolu.cz/archiv)
